EM_ID,UCMC,Date,Year,Month,Ordinal day,Site,Plot,Plant,Plant species name,Plant common name,Plant family,Insect Order,Insect family,Insect species name,Insect notes,Notes,PA
,,8/20/19,2019,8,232,Elk M.,5,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Apis mellifera,,,1
,,8/26/19,2019,8,238,Elk M.,2,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Bombus bifarius,,,1
EM02100,,9/2/19,2019,9,245,Elk M.,5,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,female,,1
EM02101,,9/2/19,2019,9,245,Elk M.,2,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Halictidae,Dufourea maura,female: IN OSMIA BOX,,1
,,9/2/19,2019,9,245,Elk M.,6,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Apis mellifera,,,1
,,9/2/19,2019,9,245,Elk M.,6,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Apis mellifera,,,1
,,9/2/19,2019,9,245,Elk M.,6,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Apis mellifera,,,1
EM02180,,7/12/20,2020,7,194,Elk M.,2,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,female,,1
EM02263,,7/18/20,2020,7,200,Elk M.,2,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Coelioxys sodalis,kleptoparasitic on megachille; female,,1
EM02262,,7/18/20,2020,7,200,Elk M.,2,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Melissodes sp. 1,,,1
EM02220,,7/26/20,2020,7,208,Elk M.,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,female,,1
EM02241,,8/1/20,2020,8,214,Elk M.,1,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Bombus bifarius,female,,1
EM02242,,8/1/20,2020,8,214,Elk M.,2,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,female,,1
EM02238,,8/1/20,2020,8,214,Elk M.,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Osmia spp.,,,1
,,8/1/20,2020,8,214,Elk M.,5,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Bombus bifarius,same as EM02241,,1
,,8/8/20,2020,8,221,Elk M.,5,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Bombus bifarius,same as EM02250,,1
EM02248,,8/8/20,2020,8,221,Elk M.,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Melissodes confusus,male,,1
EM02323,,8/16/20,2020,8,229,Elk M.,2,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Melissodes confusus,male,,1
EM02322,,8/16/20,2020,8,229,Elk M.,4,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Anthophora urbana,,,1
