"especie","ID","genero","Familia","DIT","size","umbral.mediana"
"Lasioglossum.villosulum","M_007","Lasioglossum","Halictidae",1.32,"Pequena",3.55
"Andrena.haemorrhoa","M_006","Andrena","Andrenidae",2.54,"Pequena",3.55
"Andrena.wilkella","M_006","Andrena","Andrenidae",2.34,"Pequena",3.55
"Bombus.hortorum","M_006","Bombus","Apidae",4.56,"Grande",3.55
"Bombus.hortorum","M_006","Bombus","Apidae",4.74,"Grande",3.55
"Bombus.lapidarius","M_006","Bombus","Apidae",3.98,"Grande",3.55
"Bombus.pascuorum","M_006","Bombus","Apidae",3.72,"Grande",3.55
"Bombus.pratorum","M_006","Bombus","Apidae",4.21,"Grande",3.55
"Bombus.terrestris.lucorum","M_006","Bombus","Apidae",4.78,"Grande",3.55
"Lasioglossum.calceatum","M_006","Lasioglossum","Halictidae",1.78,"Pequena",3.55
"Lasioglossum.leucozonium","M_006","Lasioglossum","Halictidae",1.86,"Pequena",3.55
"Lasioglossum.villosulum","M_006","Lasioglossum","Halictidae",1.32,"Pequena",3.55
"Megachile.willughbiella","M_006","Megachile","Megachilidae",3.26,"Pequena",3.55
"Andrena.haemorrhoa.japonibia","M_021","Andrena","Andrenidae",2.54,"Grande",3.55
"Andrena.longitibialis","M_021","Andrena","Andrenidae",1.59,"Pequena",3.55
"Andrena.minutula","M_021","Andrena","Andrenidae",1.59,"Pequena",3.55
"Andrena.minutula","M_021","Andrena","Andrenidae",1.5,"Pequena",3.55
"Apis.cerana","M_021","Apis","Apidae",2.38,"Pequena",3.55
"Apis.mellifera","M_021","Apis","Apidae",2.9,"Grande",3.55
"Bombus.ardens","M_021","Bombus","Apidae",4.98,"Grande",3.55
"Bombus.diversus.diversus","M_021","Bombus","Apidae",5.49,"Grande",3.55
"Bombus.diversus.diversus","M_021","Bombus","Apidae",4.79,"Grande",3.55
"Bombus.honshuensis","M_021","Bombus","Apidae",6.1,"Grande",3.55
"Bombus.hypocrita.hypocrita","M_021","Bombus","Apidae",5.4,"Grande",3.55
"Bombus.ignitus","M_021","Bombus","Apidae",6.3,"Grande",3.55
"Ceratina.flavipes","M_021","Ceratina","Apidae",1.71,"Pequena",3.55
"Ceratina.japonica","M_021","Ceratina","Apidae",1.22,"Pequena",3.55
"Lasioglossum.occidens","M_021","Lasioglossum","Halictidae",2.26,"Pequena",3.55
"Lasioglossum.proximatum","M_021","Lasioglossum","Halictidae",2.43,"Pequena",3.55
"Andrena.imitatrix","M_073","Andrena","Andrenidae",4.49,"Grande",3.55
"Andrena.spiraeana","M_073","Andrena","Andrenidae",1.94,"Grande",3.55
"Andrena.vicina","M_073","Andrena","Andrenidae",2.54,"Grande",3.55
"Anthophora.abrupta","M_073","Anthophora","Andrenidae",3.9,"Grande",3.55
"Apis.mellifera","M_073","Apis","Apidae",2.9,"Grande",3.55
