"ID","plantas"
"M_019","Brachycome.sp1.M.PL.019"
"M_019","Brachycome.stolonifera"
"M_019","Celmisia.longifolia"
"M_019","Craspedia.sp1.M.PL.019"
"M_019","Epacris.microphylla"
"M_019","Epacris.petrophila"
"M_019","Epilobium.gunnianum"
"M_019","Euphrasia.collina"
"M_019","Gentianella.diemensis"
"M_019","Helichrysum.alpinum"
"M_019","Helichrysum.scorpioides"
"M_019","Helipterum.albicans"
"M_019","Hypochoeris.radicata"
"M_019","Kunzea.muelleri"
"M_019","Leptorhynchos.squamatus"
"M_019","Leucopogon.montanus"
"M_019","Microseris.lanceolata"
"M_019","Neopaxia.australasica"
"M_019","Olearia.phlogopappa"
"M_019","Orites.lancifolia"
"M_019","Oxylobium.ellipticum"
"M_019","Pentachondra.pumila"
"M_019","Phebalium.ovatifolium"
"M_019","Pimelea.ligustrina"
"M_019","Prasophyllum.alpinum"
"M_019","Prostanthera.cuneata"
"M_019","Richea.continentis"
"M_019","Senecio.gunnii"
"M_019","Senecio.lautus"
"M_019","Senecio.pectinatus"
"M_019","Stackhousia.pulvinaris"
"M_019","Stylidium.graminifolium"
"M_019","Wahlenbergia.ceracea"
"M_020","Arnica.alpina"
"M_020","Cassiope.tetragona"
"M_020","Cerastium.alpinum"
"M_020","Draba.sp1.M.PL.020"
"M_020","Dryas.integrifolia"
"M_020","Erigeron.compositus"
"M_020","Erigeron.eriocephalus"
"M_020","Erysimum.pallasii"
"M_020","Lesquerella.arctica"
"M_020","Papaver.radicatum"
"M_020","Pedicularis.arctica"
"M_020","Pedicularis.capitata"
"M_020","Polygonum.viviparum"
"M_020","Potentilla.nivea"
"M_020","Ranumculus.sulphureus"
"M_020","Salix.arctica"
"M_020","Saxifraga.hirculus"
"M_020","Saxifraga.oppositifolia"
"M_020","Stellaria.longipes"
"M_020","Taraxacum.arctogenum"
"M_021","Acer.rufinerve"
"M_021","Adenocaulon.himalaicum"
"M_021","Aesculus.turbinata"
"M_021","Agrimonia.pilosa"
"M_021","Ainsliaea.acerifolia"
"M_021","Alangium.platanifolium"
"M_021","Ampelopsis.brevipedunculata"
"M_021","Anemone.flaccida"
"M_021","Angelica.polymorpha"
"M_021","Angelica.pubescens"
"M_021","Antenoron.filiforme"
"M_021","Anthriscus.aemula"
"M_021","Aruncus.dioicus"
"M_021","Aster.glehni"
"M_021","Astilbe.thunbergii"
"M_021","Aucuba.japonica"
"M_021","Benthamida.kousa"
"M_021","Bistorta.tenuicaulis"
"M_021","Cacalia.delphiniifolia"
"M_021","Cardiandra.alternifolia"
"M_021","Carpesium.divaricatum"
"M_021","Caryopteris.divaricata"
"M_021","Castanea.crenata"
"M_021","Cirsium.japonicum"
"M_021","Cirsium.kagamontanum"
"M_021","Clinopodium.micranthum"
"M_021","Commelina.communis"
"M_021","Corydalis.lineariloba"
"M_021","Corydalis.pallida"
"M_021","Cryptotaenia.japonica"
"M_021","Desmodium.podocarpum"
"M_021","Deutzia.crenata"
"M_021","Disporum.sessile"
"M_021","Epimedium.grandiflorum"
"M_021","Euonymus.alatus"
"M_021","Euonymus.sieboldianus"
"M_021","Geranium.nepalense"
"M_021","Geum.japonicum"
"M_021","Hovenia.tomentella"
"M_021","Hydrangea.hirta"
"M_021","Hydrangea.macrophylla"
"M_021","Hydrangea.paniculata"
"M_021","Impatiens.noli-tangere"
"M_021","Impatiens.textori"
"M_021","Ixeris.dentata"
"M_021","Kalimeris.yomena"
"M_021","Lespedeza.bicolor"
"M_021","Ligustrum.obtusifolium"
"M_021","Lysimachia.clethroides"
"M_021","Magnolia.salicifolia"
"M_021","Oxalis.griffithii"
"M_021","Patrinia.villosa"
"M_021","Persicaria.aestiva"
"M_021","Persicaria.pubescens"
"M_021","Persicaria.senticosa"
"M_021","Persicaria.thunbergii"
"M_021","Petasites.japonicus"
"M_021","Phellodendron.amurense"
"M_021","Plantago.asiatica"
"M_021","Polygonatum.macranthum"
"M_021","Prunus.Grayana"
"M_021","Prunus.incisa"
"M_021","Prunus.salicina"
"M_021","Rabdosia.longituba"
"M_021","Rabdosia.trichocarpa"
"M_021","Reynoutria.japonica"
"M_021","Rhus.javanica"
"M_021","Rhus.trichocarpa"
"M_021","Rosa.multiflora"
"M_021","Rubus.illecebrosus"
"M_021","Rubus.microphyllus"
"M_021","Rubus.palmatus"
"M_021","Rubus.parvifolius"
"M_021","Salix.gracilistyla"
"M_021","Salvia.glabrescens"
"M_021","Siegesbeckia.orientalis"
"M_021","Spuriopimpinella.nikoensis"
"M_021","Stachyurus.praecox"
"M_021","Stenactis.annuus"
"M_021","Styrax.japonica"
"M_021","Swida.controversa"
