"ID","sp.armonizado","Grado","Grado_max","Grado_relativo","Z_Grado"
"M_005","Colias alexandra",1,37,0.027027027027027,-0.480221763033262
"M_005","Colias edwardsi",1,37,0.027027027027027,-0.480221763033262
"M_005","Colias keewaydina",1,37,0.027027027027027,-0.480221763033262
"M_005","Colias scudderi",1,37,0.027027027027027,-0.480221763033262
"M_005","Colletes americanus",2,37,0.0540540540540541,-0.276423946931183
"M_005","Colletes kincaidi",4,37,0.108108108108108,0.131171685272974
"M_005","Colletes oromontis",10,37,0.27027027027027,1.35395858188545
"M_005","Colletes sieverti",1,37,0.027027027027027,-0.480221763033262
"M_005","Colletes sp1 M PL 005",1,37,0.027027027027027,-0.480221763033262
"M_005","Ctenucha sp1 M PL 005",2,37,0.0540540540540541,-0.276423946931183
"M_005","Curtipogon leucozona",1,37,0.027027027027027,-0.480221763033262
"M_005","Dasyllis fernaldi",2,37,0.0540540540540541,-0.276423946931183
"M_005","Dejeania vexatrix",3,37,0.0810810810810811,-0.0726261308291045
"M_005","Dolichovespula arctica",2,37,0.0540540540540541,-0.276423946931183
"M_005","Dolichovespula diabolica",1,37,0.027027027027027,-0.480221763033262
"M_005","Echinomyia algens",3,37,0.0810810810810811,-0.0726261308291045
"M_005","Echinomyia decias",1,37,0.027027027027027,-0.480221763033262
"M_005","Ectemius montanus",1,37,0.027027027027027,-0.480221763033262
"M_005","Ectemius muricatus",1,37,0.027027027027027,-0.480221763033262
"M_005","Eliphilus latifrons",1,37,0.027027027027027,-0.480221763033262
"M_005","Epalpus bicolor",3,37,0.0810810810810811,-0.0726261308291045
"M_005","Epalpus rufus",2,37,0.0540540540540541,-0.276423946931183
"M_005","Epeolus helianthi",1,37,0.027027027027027,-0.480221763033262
"M_005","Erebia epipsodea",4,37,0.108108108108108,0.131171685272974
"M_005","Eristalis arbustorum",2,37,0.0540540540540541,-0.276423946931183
"M_005","Eristalis dimidiatus",1,37,0.027027027027027,-0.480221763033262
"M_005","Eristalis flavipes",1,37,0.027027027027027,-0.480221763033262
"M_005","Eristalis latifrons",3,37,0.0810810810810811,-0.0726261308291045
"M_005","Eristalis meigeni",1,37,0.027027027027027,-0.480221763033262
"M_005","Eristalis temporalis",3,37,0.0810810810810811,-0.0726261308291045
"M_005","Eristalis tenax",1,37,0.027027027027027,-0.480221763033262
"M_005","Erizoa olivalis",1,37,0.027027027027027,-0.480221763033262
"M_005","Erynnis leonardus snowi",2,37,0.0540540540540541,-0.276423946931183
"M_005","Exoprosopa caliptera",1,37,0.027027027027027,-0.480221763033262
"M_005","Exoprosopa divisa",1,37,0.027027027027027,-0.480221763033262
"M_005","Exoprosopa volucris",1,37,0.027027027027027,-0.480221763033262
"M_005","Foenus perplexus",1,37,0.027027027027027,-0.480221763033262
"M_005","Geocoris bullatus",1,37,0.027027027027027,-0.480221763033262
"M_005","Glypta sp1 M PL 005",1,37,0.027027027027027,-0.480221763033262
"M_005","Gnophaela vermiculata",5,37,0.135135135135135,0.334969501375053
"M_005","Gonochrysis densa",1,37,0.027027027027027,-0.480221763033262
"M_005","Grapta hylas",1,37,0.027027027027027,-0.480221763033262
"M_005","Halictus chloralictus",10,37,0.27027027027027,1.35395858188545
"M_005","Halictus fendleri",1,37,0.027027027027027,-0.480221763033262
"M_005","Halictus lerouxi",1,37,0.027027027027027,-0.480221763033262
"M_005","Halictus manitonellus",2,37,0.0540540540540541,-0.276423946931183
"M_005","Halictus medionitens",5,37,0.135135135135135,0.334969501375053
"M_005","Halictus pulzenus",17,37,0.459459459459459,2.7805432946
"M_005","Halictus sp1 M PL 005",10,37,0.27027027027027,1.35395858188545
"M_005","Halictus sp2 M PL 005",8,37,0.216216216216216,0.94636294968129
"M_005","Halictus sp3 M PL 005",11,37,0.297297297297297,1.55775639798753
"M_005","Halicyoides mamus",1,37,0.027027027027027,-0.480221763033262
"M_005","Hammerschmidtia ferruginea",3,37,0.0810810810810811,-0.0726261308291045
"M_005","Heriades gracilior",3,37,0.0810810810810811,-0.0726261308291045
"M_005","Heringia salix",1,37,0.027027027027027,-0.480221763033262
"M_005","Hyloicus separatus",1,37,0.027027027027027,-0.480221763033262
"M_005","Irbisia brachycerus",5,37,0.135135135135135,0.334969501375053
"M_005","Lemonias nubigena wheeleri",3,37,0.0810810810810811,-0.0726261308291045
"M_005","Leptura chrysocoma",1,37,0.027027027027027,-0.480221763033262
"M_005","Lithargus apicalis opuntiae",1,37,0.027027027027027,-0.480221763033262
"M_005","Lycaena glaucon",1,37,0.027027027027027,-0.480221763033262
"M_005","Lycaena pseudargiolus",1,37,0.027027027027027,-0.480221763033262
"M_005","Lygus pratensis",1,37,0.027027027027027,-0.480221763033262
"M_005","Mallota flavoterminata",1,37,0.027027027027027,-0.480221763033262
"M_005","Megachile gemula albula",1,37,0.027027027027027,-0.480221763033262
"M_005","Megachile pugnata",5,37,0.135135135135135,0.334969501375053
"M_005","Megachile relativa",4,37,0.108108108108108,0.131171685272974
"M_005","Megachile sp1 M PL 005",2,37,0.0540540540540541,-0.276423946931183
"M_005","Megachile texana",2,37,0.0540540540540541,-0.276423946931183
"M_005","Megachile vidua",1,37,0.027027027027027,-0.480221763033262
"M_005","Megachile wootoni",12,37,0.324324324324324,1.7615542140896
"M_005","Megachile wootoni calogaster",5,37,0.135135135135135,0.334969501375053
"M_005","Melissodes aurigenia",1,37,0.027027027027027,-0.480221763033262
"M_005","Melissodes fremonti",2,37,0.0540540540540541,-0.276423946931183
"M_005","Melissodes sp1 M PL 005",1,37,0.027027027027027,-0.480221763033262
"M_005","Melitaea sp1 M PL 005",2,37,0.0540540540540541,-0.276423946931183
"M_005","Melitaea whitneyi",1,37,0.027027027027027,-0.480221763033262
"M_005","Mesogramma marginata",1,37,0.027027027027027,-0.480221763033262
"M_005","Microdon cothurnatus",1,37,0.027027027027027,-0.480221763033262
"M_005","Monumetha albifrons",13,37,0.351351351351351,1.96535203019168
