"especie","ID","genero","Familia","DIT","umbral","size","es.umbral"
"Bombus.impatiens","M_062","Bombus","Apidae",3.38,3,"Grande",TRUE
"Bombus.pennsylvanicus","M_062","Bombus","Apidae",6,3,"Grande",TRUE
"Bombus.ridingsii","M_062","Bombus","Apidae",5.44,3,"Grande",TRUE
"Calliopsis.andreniformis","M_062","Calliopsis","Andrenidae",1.36,3,"Pequena",TRUE
"Calliopsis.coloradensis","M_062","Calliopsis","Andrenidae",1.65,3,"Pequena",TRUE
"Ceratina.dupla","M_062","Ceratina","Apidae",1.42,3,"Pequena",TRUE
"Colletes.compactus","M_062","Colletes","Colletidae",3.143,3,"Grande",TRUE
"Colletes.similis","M_062","Colletes","Colletidae",2.37,3,"Pequena",TRUE
"Megachile.mendica","M_062","Megachile","Megachilidae",3.3,3,"Grande",TRUE
"Melissodes.agilis","M_062","Melissodes","Apidae",3.24,3,"Grande",TRUE
"Melissodes.coreopsis","M_062","Melissodes","Apidae",2.6,3,"Pequena",TRUE
"Osmia.atriventris","M_062","Osmia","Megachilidae",2.08,3,"Pequena",TRUE
"Osmia.collinsiae","M_062","Osmia","Megachilidae",2.7,3,"Pequena",TRUE
"Peponapis.pruinosa","M_062","Peponapis","Apidae",3.16,3,"Grande",TRUE
"Agapostemon.splendens","M_062","Agapostemon","Halictidae",2.38,4,"Pequena",TRUE
"Agapostemon.texanus","M_062","Agapostemon","Halictidae",2.04,4,"Pequena",TRUE
"Andrena.arabis","M_062","Andrena","Andrenidae",2.1,4,"Pequena",TRUE
"Andrena.carlini","M_062","Andrena","Andrenidae",2.9,4,"Pequena",TRUE
"Andrena.mandibularis","M_062","Andrena","Andrenidae",1.87,4,"Pequena",TRUE
"Andrena.nubecula","M_062","Andrena","Andrenidae",1.17,4,"Pequena",TRUE
"Andrena.personata","M_062","Andrena","Andrenidae",1.2,4,"Pequena",TRUE
"Andrena.pruni","M_062","Andrena","Andrenidae",2.5,4,"Pequena",TRUE
"Andrena.spiraeana","M_062","Andrena","Andrenidae",1.94,4,"Pequena",TRUE
"Ashmeadiella.bucconis","M_062","","Megachilidae",1.78,4,"Pequena",TRUE
"Bombus.impatiens","M_062","Bombus","Apidae",4.42,4,"Grande",TRUE
"Bombus.impatiens","M_062","Bombus","Apidae",3.38,4,"Pequena",TRUE
"Bombus.pennsylvanicus","M_062","Bombus","Apidae",6,4,"Grande",TRUE
"Bombus.ridingsii","M_062","Bombus","Apidae",5.44,4,"Grande",TRUE
"Calliopsis.andreniformis","M_062","Calliopsis","Andrenidae",1.36,4,"Pequena",TRUE
"Calliopsis.coloradensis","M_062","Calliopsis","Andrenidae",1.65,4,"Pequena",TRUE
"Ceratina.dupla","M_062","Ceratina","Apidae",1.42,4,"Pequena",TRUE
"Colletes.compactus","M_062","Colletes","Colletidae",3.143,4,"Pequena",TRUE
"Colletes.similis","M_062","Colletes","Colletidae",2.37,4,"Pequena",TRUE
"Megachile.mendica","M_062","Megachile","Megachilidae",3.3,4,"Pequena",TRUE
"Melissodes.agilis","M_062","Melissodes","Apidae",3.24,4,"Pequena",TRUE
"Melissodes.coreopsis","M_062","Melissodes","Apidae",2.6,4,"Pequena",TRUE
"Osmia.atriventris","M_062","Osmia","Megachilidae",2.08,4,"Pequena",TRUE
"Osmia.collinsiae","M_062","Osmia","Megachilidae",2.7,4,"Pequena",TRUE
"Peponapis.pruinosa","M_062","Peponapis","Apidae",3.16,4,"Pequena",TRUE
"Agapostemon.splendens","M_062","Agapostemon","Halictidae",2.38,5,"Pequena",TRUE
"Agapostemon.texanus","M_062","Agapostemon","Halictidae",2.04,5,"Pequena",TRUE
"Andrena.arabis","M_062","Andrena","Andrenidae",2.1,5,"Pequena",TRUE
"Andrena.carlini","M_062","Andrena","Andrenidae",2.9,5,"Pequena",TRUE
"Andrena.mandibularis","M_062","Andrena","Andrenidae",1.87,5,"Pequena",TRUE
"Andrena.nubecula","M_062","Andrena","Andrenidae",1.17,5,"Pequena",TRUE
"Andrena.personata","M_062","Andrena","Andrenidae",1.2,5,"Pequena",TRUE
"Andrena.pruni","M_062","Andrena","Andrenidae",2.5,5,"Pequena",TRUE
"Andrena.spiraeana","M_062","Andrena","Andrenidae",1.94,5,"Pequena",TRUE
"Ashmeadiella.bucconis","M_062","","Megachilidae",1.78,5,"Pequena",TRUE
"Bombus.impatiens","M_062","Bombus","Apidae",4.42,5,"Pequena",TRUE
"Bombus.impatiens","M_062","Bombus","Apidae",3.38,5,"Pequena",TRUE
"Bombus.pennsylvanicus","M_062","Bombus","Apidae",6,5,"Grande",TRUE
"Bombus.ridingsii","M_062","Bombus","Apidae",5.44,5,"Grande",TRUE
"Calliopsis.andreniformis","M_062","Calliopsis","Andrenidae",1.36,5,"Pequena",TRUE
"Calliopsis.coloradensis","M_062","Calliopsis","Andrenidae",1.65,5,"Pequena",TRUE
"Ceratina.dupla","M_062","Ceratina","Apidae",1.42,5,"Pequena",TRUE
"Colletes.compactus","M_062","Colletes","Colletidae",3.143,5,"Pequena",TRUE
"Colletes.similis","M_062","Colletes","Colletidae",2.37,5,"Pequena",TRUE
"Megachile.mendica","M_062","Megachile","Megachilidae",3.3,5,"Pequena",TRUE
"Melissodes.agilis","M_062","Melissodes","Apidae",3.24,5,"Pequena",TRUE
