"sp.armonizado","ID","Grado","Grado_max","Grado_relativo","Z_Grado"
"Megachile tsurugensis","M_056",1,22,0.0454545454545455,-0.730844233103581
"Megachile tsururgensis","M_057",1,37,0.027027027027027,-0.565502610273691
"Megachile versicolor","M_047",1,13,0.0769230769230769,-0.633925273289415
"Megachile vidua","M_005",1,37,0.027027027027027,-0.658818010816978
"Megachile villipes","M_015",1,104,0.00961538461538462,-0.512116660022547
"Megachile willughbiella","M_006",1,10,0.1,-0.772807633514369
"Megachile wootoni","M_005",12,37,0.324324324324324,0.827745705898255
"Megachile wootoni calogaster","M_005",5,37,0.135135135135135,-0.118249386556894
"Megachile yasumatsui","M_057",2,37,0.0540540540540541,-0.442799213704871
"Megilla maculata","M_062",11,121,0.0909090909090909,-0.247552524129243
"Melecta albifrons","M_015",2,104,0.0192307692307692,-0.401091368494221
"Melecta curvispina","M_008",3,6,0.5,-0.240866929313949
"Melecta tuberculata","M_015",4,104,0.0384615384615385,-0.17904078543757
"Melipona asilvai","M_076",5,33,0.151515151515152,-0.215137730554143
"Melipona favosa","M_030",3,8,0.375,0
"Melipona quadrifasciata","M_076",1,33,0.0303030303030303,-0.6023856455516
"Melipona scutellaris","M_031",13,17,0.764705882352941,0.750586625040802
"Melissodes agilis","M_062",50,121,0.413223140495868,1.54246542845601
"Melissodes aurigenia","M_005",1,37,0.027027027027027,-0.658818010816978
"Melissodes autumnalis","M_062",30,121,0.247933884297521,0.624507504053317
"Melissodes bimaculata","M_073",1,21,0.0476190476190476,-0.567092158662006
"Melissodes cnici","M_062",18,121,0.148760330578512,0.0737327494117003
"Melissodes coloradensis","M_062",1,121,0.00826446280991736,-0.70653148633059
"Melissodes comptoides","M_062",3,121,0.0247933884297521,-0.614735693890321
"Melissodes coreopsis","M_062",3,121,0.0247933884297521,-0.614735693890321
"Melissodes fremonti","M_005",2,37,0.0540540540540541,-0.523675854751957
"Melissodes oligolege","M_062",5,121,0.0413223140495868,-0.522939901450051
"Melissodes pallida","M_062",10,121,0.0826446280991736,-0.293450420349378
"Melissodes simillima","M_062",12,121,0.0991735537190083,-0.201654627909108
"Melissodes vernoniana","M_062",13,121,0.107438016528926,-0.155756731688973
"Melissoptila tandilensis","M_072",6,66,0.0909090909090909,-0.39661096006813
"Mesonychium gayi","M_001",2,16,0.125,-0.487248237697406
"Microstelis lateralis","M_062",17,121,0.140495867768595,0.0278348531915655
"Monilosmia canadensis","M_062",1,121,0.00826446280991736,-0.70653148633059
"Nomada asozuana","M_053",1,15,0.0666666666666667,-0.667699814750755
"Nomada aswensis","M_057",2,37,0.0540540540540541,-0.442799213704871
"Nomada babiyi","M_015",1,104,0.00961538461538462,-0.512116660022547
"Nomada basalis","M_015",8,104,0.0769230769230769,0.265060380675732
"Nomada bishopii","M_025",1,7,0.142857142857143,-1.02189886744499
"Nomada calimorpha","M_015",1,104,0.00961538461538462,-0.512116660022547
"Nomada clalii okubira","M_057",1,37,0.027027027027027,-0.565502610273691
"Nomada comparata","M_057",1,37,0.027027027027027,-0.565502610273691
"Nomada corcyraea","M_015",1,104,0.00961538461538462,-0.512116660022547
"Nomada cressonii","M_062",29,121,0.239669421487603,0.578609607833182
"Nomada cuneata","M_004",1,8,0.125,-0.586009038673119
"Nomada denticulata","M_062",19,121,0.15702479338843,0.119630645631835
"Nomada diervillae","M_053",1,15,0.0666666666666667,-0.667699814750755
"Nomada distinguenda","M_015",1,104,0.00961538461538462,-0.512116660022547
"Nomada eos","M_015",3,104,0.0288461538461538,-0.290066076965896
"Nomada erythrocephala","M_015",1,104,0.00961538461538462,-0.512116660022547
"Nomada esakii","M_057",2,37,0.0540540540540541,-0.442799213704871
"Nomada femoralis","M_015",9,104,0.0865384615384615,0.376085672204058
"Nomada flava","M_047",1,13,0.0769230769230769,-0.633925273289415
"Nomada flavoguttata japonensis","M_057",1,37,0.027027027027027,-0.565502610273691
"Nomada fucata","M_015",4,104,0.0384615384615385,-0.17904078543757
"Nomada fukuiana","M_055",1,12,0.0833333333333333,-0.736271454932668
