"sp.armonizado","ID","Grado","Grado_max","Grado_relativo","Z_Grado"
"Bombus impatiens","M_073",11,21,0.523809523809524,1.05940804656152
"Bombus impatiens","M_062",12,121,0.0991735537190083,-0.420430191829109
"Bombus jonellus","M_047",6,13,0.461538461538462,1.26785054657883
"Bombus lapidarius","M_046",6,9,0.666666666666667,-0.606339062590832
"Bombus lapidarius","M_047",4,13,0.307692307692308,0.507140218631532
"Bombus lapidarius","M_007",10,10,1,2.39538136665084
"Bombus lapidarius","M_037",4,4,1,1.05500875743326
"Bombus lapidarius","M_018",8,15,0.533333333333333,0.828706358024792
"Bombus lapidarius","M_017",4,5,0.8,0.730296743340222
"Bombus lapidarius","M_006",1,10,0.1,-0.772807633514369
"Bombus lapidarius","M_043",4,10,0.4,0.203289278153682
"Bombus lucorum","M_037",1,4,0.25,-0.923132662754102
"Bombus lucorum","M_047",8,13,0.615384615384615,2.02856087452613
"Bombus lucorum","M_049",9,11,0.818181818181818,1.1766968108291
"Bombus lucorum","M_018",2,15,0.133333333333333,-0.538659132716115
"Bombus lucorum","M_016",2,14,0.142857142857143,-0.378322248309514
"Bombus lucorum","M_043",1,10,0.1,-0.813157112614726
"Bombus morio","M_077",3,7,0.428571428571429,-0.3
"Bombus morio","M_076",1,33,0.0303030303030303,-0.638063227222696
"Bombus muscorum","M_017",2,5,0.4,-0.486864495560147
"Bombus muscorum","M_047",1,13,0.0769230769230769,-0.633925273289415
"Bombus nevadensis","M_005",5,32,0.15625,-0.350788680075257
"Bombus occidentalis","M_005",32,32,1,2.6013030691295
"Bombus pascuorum","M_046",9,9,1,0.848874687627165
"Bombus pascuorum","M_018",15,15,1,2.42396609722252
"Bombus pascuorum","M_049",11,11,1,1.76504521624366
"Bombus pascuorum","M_043",10,10,1,2.2361820596905
"Bombus pascuorum","M_006",10,10,1,1.91955444453569
"Bombus pascuorum","M_007",7,10,0.7,1.40728655290737
"Bombus pascuorum","M_017",5,5,1,1.33887736279041
"Bombus pascuorum","M_037",4,4,1,1.05500875743326
"Bombus pascuorum","M_038",2,2,1,NA
"Bombus pascuorum","M_047",8,13,0.615384615384615,2.02856087452613
"Bombus pennsylvanicus","M_062",6,121,0.0495867768595041,-0.597972560226152
"Bombus pennsylvanicus","M_025",2,7,0.285714285714286,-0.506959661360609
"Bombus pennsylvanicus","M_005",1,32,0.03125,-0.788135605883369
"Bombus pratorum","M_043",3,10,0.3,-0.135526185435788
"Bombus pratorum","M_049",7,11,0.636363636363636,0.588348405414552
"Bombus pratorum","M_006",3,10,0.3,-0.174504949503245
"Bombus pratorum","M_018",3,15,0.2,-0.310764884259297
"Bombus pratorum","M_007",3,10,0.3,0.0898268012494066
"Bombus pratorum","M_047",3,13,0.230769230769231,0.126785054657883
"Bombus ridingsii","M_062",3,121,0.0247933884297521,-0.686743744424673
"Bombus ruderatus","M_11.1",3,6,0.5,-0.577350269189626
"Bombus ruderatus","M_043",1,10,0.1,-0.813157112614726
"Bombus ruderatus","M_028",1,10,0.1,-1.01143899942484
"Bombus ruderatus","M_051",3,10,0.3,-0.745869853982892
"Bombus ruderatus","M_018",1,15,0.0666666666666667,-0.766553381172933
"Bombus rupestris","M_018",1,15,0.0666666666666667,-0.766553381172933
"Bombus rupestris","M_043",1,10,0.1,-0.813157112614726
"Bombus rupestris","M_047",2,13,0.153846153846154,-0.253570109315766
"Bombus soroeensis","M_018",2,15,0.133333333333333,-0.538659132716115
"Bombus soroeensis","M_043",2,10,0.2,-0.474341649025257
"Bombus terrestris","M_037",2,4,0.5,-0.263752189358315
"Bombus terrestris","M_046",9,9,1,0.848874687627165
"Bombus terrestris","M_015",13,104,0.125,0.772342064245988
"Bombus terrestris","M_049",7,11,0.636363636363636,0.588348405414552
