"sp.armonizado","ID","Grado","Grado_max","Grado_relativo","Z_Grado"
"Leioproctus sp4 M PL 019","M_019",2,13,0.153846153846154,-0.287833875021205
"Leioproctus sp4 M PL 028","M_028",1,10,0.1,-0.858716978732758
"Leioproctus sp4 M PL 029","M_029",1,11,0.0909090909090909,-0.700668649142545
"Leioproctus sp5 M PL 019","M_019",1,13,0.0769230769230769,-0.588751107997919
"Leioproctus sp5 M PL 028","M_028",1,10,0.1,-0.858716978732758
"Leioproctus sp5 M PL 029","M_029",1,11,0.0909090909090909,-0.700668649142545
"Leucosmia albiventria","M_062",22,121,0.181818181818182,0.257324334292239
"Liphanthus sabulosus","M_001",3,16,0.1875,-0.19712127461776
"Liphanthus sp2","M_001",1,16,0.0625,-0.680386334970978
"Lithurgus collaris","M_054",1,24,0.0416666666666667,-0.565655243280164
"Macropis labiata","M_049",2,11,0.181818181818182,-0.669756167934072
"Macropis steironematis","M_062",24,121,0.198347107438017,0.349120126732509
"Manuelia gayi","M_051",3,10,0.3,0.278308154308772
"Manuelia postica","M_051",4,10,0.4,0.727882865115249
"Megachile 6 dentata","M_062",5,121,0.0413223140495868,-0.522939901450051
"Megachile addenda","M_062",6,121,0.0495867768595041,-0.477042005229917
"Megachile albisecta","M_015",6,38,0.157894736842105,0.174877802233414
"Megachile albocristata","M_015",4,38,0.105263157894737,-0.158156418752928
"Megachile argentata","M_016",3,9,0.333333333333333,0.179746445704375
"Megachile argentata","M_015",15,38,0.394736842105263,1.67353179667195
"Megachile canariensis","M_008",5,6,0.833333333333333,1.1355574187124
"Megachile ericetorum","M_015",8,38,0.210526315789474,0.507912023219755
"Megachile gemula albula","M_005",1,37,0.027027027027027,-0.650347708136215
"Megachile generosa","M_062",23,121,0.190082644628099,0.303222230512374
"Megachile giraudi","M_015",2,38,0.0526315789473684,-0.491190639739269
"Megachile hungarica","M_015",1,38,0.0263157894736842,-0.65770775023244
"Megachile japonica","M_053",1,15,0.0666666666666667,-0.662374062890642
"Megachile kobensis","M_054",3,24,0.125,-0.163562961912336
"Megachile leachella","M_016",1,9,0.111111111111111,-0.727545137374849
"Megachile lefebvrei","M_015",3,38,0.0789473684210526,-0.324673529246099
"Megachile manicata","M_015",4,38,0.105263157894737,-0.158156418752928
"Megachile maritima","M_016",3,9,0.333333333333333,0.179746445704375
"Megachile mendica","M_062",15,121,0.12396694214876,-0.0639609392487039
"Megachile mendica","M_073",10,21,0.476190476190476,1.31156729661705
"Megachile montenegrensis","M_015",1,38,0.0263157894736842,-0.65770775023244
"Megachile nipponica","M_055",3,12,0.25,-0.046777570019725
"Megachile nipponica","M_054",4,24,0.166666666666667,0.0374831787715771
"Megachile nipponica amamiensis","M_044",1,21,0.0476190476190476,-0.66217442958547
"Megachile okinawana","M_044",4,21,0.19047619047619,-0.101273736289542
"Megachile oligolege","M_062",6,121,0.0495867768595041,-0.477042005229917
"Megachile pacifica","M_015",1,38,0.0263157894736842,-0.65770775023244
"Megachile parietina","M_015",11,38,0.289473684210526,1.00746335469927
"Megachile petulans","M_062",1,121,0.00826446280991736,-0.70653148633059
"Megachile pseudomonticola","M_054",1,24,0.0416666666666667,-0.565655243280164
"Megachile pugnata","M_005",5,37,0.135135135135135,-0.0683810789315483
"Megachile pyrenaica","M_015",2,38,0.0526315789473684,-0.491190639739269
"Megachile relativa","M_005",4,37,0.108108108108108,-0.213872736232715
"Megachile remota","M_053",1,15,0.0666666666666667,-0.662374062890642
"Megachile remota sakagamii","M_054",2,24,0.0833333333333333,-0.36460910259625
"Megachile remota sakagamii","M_021",1,25,0.04,-0.570567593827875
"Megachile semirufa","M_001",16,16,1,2.94410161767816
"Megachile semirufa","M_002",4,8,0.5,0.573292943662343
"Megachile semirufa","M_003",1,7,0.142857142857143,-0.993399267798783
"Megachile seychellensis","M_061",13,29,0.448275862068966,-0.0950586375786717
"Megachile sp","M_11.2",3,3,1,NA
"Megachile sp1","M_001",13,16,0.8125,2.21920402714833
"Megachile sp1","M_002",4,8,0.5,0.573292943662343
"Megachile sp1 M PL 005","M_005",2,37,0.0540540540540541,-0.504856050835048
"Megachile sp1 M PL 015","M_015",17,38,0.447368421052632,2.00656601765829
"Megachile sp1 M PL 019","M_019",1,13,0.0769230769230769,-0.588751107997919
"Megachile sp1 M PL 022","M_022",7,7,1,1.75411603861406
"Megachile sp1 M PL 023","M_023",3,4,0.75,0.921954445729289
"Megachile sp1 M PL 030","M_030",1,3,0.333333333333333,-0.584897651865602
