"ID","Orden.GBIF","Familia.GBIF","Genero.GBIF","Genero.original","planta","interaccion","especie","esp","Aceptado","sp.armonizado"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Diptera.sp25.M.PL.017","Diptera sp25 M PL 017",NA,"Diptera sp25 M PL 017"
"M_046","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Musca.sp1.M.PL.046","Musca sp1 M PL 046",NA,"Musca sp1 M PL 046"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",8,"Symphyta.sp1.M.PL.017","Symphyta sp1 M PL 017",NA,"Symphyta sp1 M PL 017"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Coleoptera.sp6.M.PL.017","Coleoptera sp6 M PL 017",NA,"Coleoptera sp6 M PL 017"
"M_046","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Diptera.sp24.M.PL.046","Diptera sp24 M PL 046",NA,"Diptera sp24 M PL 046"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",33,"Diptera.sp31.M.PL.017","Diptera sp31 M PL 017",NA,"Diptera sp31 M PL 017"
"M_046","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Unidentified.sp1.M.PL.046","Unidentified sp1 M PL 046",NA,"Unidentified sp1 M PL 046"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",4,"Diptera.sp18.M.PL.017","Diptera sp18 M PL 017",NA,"Diptera sp18 M PL 017"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Eristalis.pertinax","Eristalis pertinax",NA,"Eristalis pertinax"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",3,"Sphaerophoria.scripta","Sphaerophoria scripta",NA,"Sphaerophoria scripta"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Hymenoptera.sp41.M.PL.017","Hymenoptera sp41 M PL 017",NA,"Hymenoptera sp41 M PL 017"
"M_046","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",1,"Diptera.sp11.M.PL.046","Diptera sp11 M PL 046",NA,"Diptera sp11 M PL 046"
"M_017","Apiales","Apiaceae","Torilis","Torilis","Torilis.japonica",2,"Syrphus.vitripennis","Syrphus vitripennis",NA,"Syrphus vitripennis"
