"Genero.original","Genero.especie","Orden.GBIF","Familia.GBIF","Genero.GBIF","genero.es.igual","n.fam"
"Asphodelus","Asphodelus.aestivus","Liliales","Liliaceae","Asphodelus",TRUE,2
"Asphodelus","Asphodelus.aestivus","Asparagales","Asphodelaceae","Asphodelus",TRUE,2
"Aspidonepsis","Aspidonepsis.diploglossa","Gentianales","Apocynaceae","Aspidonepsis",TRUE,1
"Aster","Aster.ageratoides","Asterales","Asteraceae","Aster",TRUE,1
"Aster","Aster.foliaceus","Asterales","Asteraceae","Aster",TRUE,1
"Aster","Aster.glehni","Asterales","Asteraceae","Aster",TRUE,1
"Aster","Aster.paniculatus","Asterales","Asteraceae","Aster",TRUE,1
"Aster","Aster.scaber","Asterales","Asteraceae","Aster",TRUE,1
"Aster","Aster.novaeangliae","Asterales","Asteraceae","Aster",TRUE,1
"Aster","Aster.ericoides.villosus","Asterales","Asteraceae","Aster",TRUE,1
"Aster","Aster.multiflorus","Asterales","Asteraceae","Aster",TRUE,1
"Aster","Aster.sagittifolius","Asterales","Asteraceae","Aster",TRUE,1
"Aster","Aster.salicifolius","Asterales","Asteraceae","Aster",TRUE,1
"Aster","Aster.ageratoides.ovatus","Asterales","Asteraceae","Aster",TRUE,1
"Aster","Aster.ageratoides.amplexifolius","Asterales","Asteraceae","Aster",TRUE,1
"Aster","Aster.turbinellus","Asterales","Asteraceae","Aster",TRUE,1
"Aster","Aster.anomalus","Asterales","Asteraceae","Aster",TRUE,1
"Aster","Aster.lateriflorus","Asterales","Asteraceae","Aster",TRUE,1
"Aster","Aster.subulatus","Asterales","Asteraceae","Aster",TRUE,1
"Aster","Aster.asa-grayi","Asterales","Asteraceae","Aster",TRUE,1
"Asteranthera","Asteranthera.ovata","Lamiales","Gesneriaceae","Asteranthera",TRUE,1
"Asteriscium","Asteriscium.aemocarpon","Apiales","Apiaceae","Asteriscium",TRUE,2
"Asteriscium","Asteriscium.aemocarpon","Asterales","Asteraceae","Asteriscium",TRUE,2
"Astilbe","Astilbe.thunbergii","Saxifragales","Saxifragaceae","Astilbe",TRUE,1
"Astragalus","Astragalus.canadensis","Fabales","Fabaceae","Astragalus",TRUE,1
"Astragalus","Astragalus.nivicola","Fabales","Fabaceae","Astragalus",TRUE,1
"Astragalus","Astragalus.sinicus","Fabales","Fabaceae","Astragalus",TRUE,1
"Astragalus","Astragalus.drummondi","Fabales","Fabaceae","Astragalus",TRUE,1
"Astragalus","Astragalus.mexicanus","Fabales","Fabaceae","Astragalus",TRUE,1
"Astragalus","Astragalus.monspessulanus","Fabales","Fabaceae","Astragalus",TRUE,1
"Astragalus","Astragalus.cruckshanksii","Fabales","Fabaceae","Astragalus",TRUE,1
"Astragalus","Astragalus.sp","Fabales","Fabaceae","Astragalus",TRUE,1
"Astragalus","Astragalus.alpinus","Fabales","Fabaceae","Astragalus",TRUE,1
"Astragalus","Astragalus.curvicaulis","Fabales","Fabaceae","Astragalus",TRUE,1
"Aucuba","Aucuba.japonica","Garryales","Garryaceae","Aucuba",TRUE,1
"Avicennia","Avicennia.germinans","Lamiales","Acanthaceae","Avicennia",TRUE,1
"Azorella","Azorella.monanthos","Apiales","Apiaceae","Azorella",TRUE,1
"Azorella","Azorella.madreporica","Apiales","Apiaceae","Azorella",TRUE,1
"Azorella","Azorella.monantha","Apiales","Apiaceae","Azorella",TRUE,1
"Azorella","Azorella.bolacina","Apiales","Apiaceae","Azorella",TRUE,1
"Azorina","Azorina.vidalii",NA,NA,NA,TRUE,1
"Baccharis","Baccharis.articulata","Asterales","Asteraceae","Baccharis",TRUE,1
"Baccharis","Baccharis.tandilensis","Asterales","Asteraceae","Baccharis",TRUE,1
"Baccharis","Baccharis.coridifolia","Asterales","Asteraceae","Baccharis",TRUE,1
"Baccharis","Baccharis.pingraea","Asterales","Asteraceae","Baccharis",TRUE,1
"Baccharis","Baccharis.trimera","Asterales","Asteraceae","Baccharis",TRUE,1
"Bacopa","Bacopa.monniera","Lamiales","Plantaginaceae","Bacopa",TRUE,1
"Badula","Badula.platiphylla","Ericales","Primulaceae","Badula",TRUE,1
"Badula","Badula.insularis","Ericales","Primulaceae","Badula",TRUE,1
"Baeckia","Baeckia.gunniana","Myrtales","Myrtaceae","Baeckia",TRUE,1
"Bakerella","Bakerella.hoyifolia","Santalales","Loranthaceae","Bakerella",TRUE,1
"Ballota","Ballota.acetabulosa","Lamiales","Lamiaceae","Ballota",TRUE,1
"Banisteriopsis","Banisteriopsis.muricata","Malpighiales","Malpighiaceae","Banisteriopsis",TRUE,1
"Banisteriopsis","Banisteriopsis.schizoptera","Malpighiales","Malpighiaceae","Banisteriopsis",TRUE,1
"Banisteriopsis","Banisteriopsis.stellaris","Malpighiales","Malpighiaceae","Banisteriopsis",TRUE,1
"Baptisia","Baptisia.bracteata","Fabales","Fabaceae","Baptisia",TRUE,1
"Baptisia","Baptisia.leucantha","Fabales","Fabaceae","Baptisia",TRUE,1
"Barneoudia","Barneoudia.chilensis",NA,NA,NA,TRUE,1
"Barneoudia","Barneoudia.major",NA,NA,NA,TRUE,1
"Barringtonia","Barringtonia.racemosa","Ericales","Lecythidaceae","Barringtonia",TRUE,1
"Bartsia","Bartsia.alpina","Lamiales","Orobanchaceae","Bartsia",TRUE,1
"Bastardia","Bastardia.viscosa",NA,NA,NA,TRUE,1
"Bauhinia","Bauhinia.divaricata","Fabales","Fabaceae","Bauhinia",TRUE,2
"Bauhinia","Bauhinia.divaricata","Solanales","Solanaceae","Bauhinia",TRUE,2
"Bauhinia","Bauhinia.japonica","Fabales","Fabaceae","Bauhinia",TRUE,2
"Bauhinia","Bauhinia.japonica","Solanales","Solanaceae","Bauhinia",TRUE,2
"Befaria","Befaria.glauca","Ericales","Ericaceae","Befaria",TRUE,1
"Belamcanda","Belamcanda.chinensis",NA,NA,NA,TRUE,1
"Bellardia","Bellardia.trixago","Lamiales","Orobanchaceae","Bellardia",TRUE,1
