"Familia","Family.x","Family.y","genero","especie_genero","DIT.final.final"
NA,NA,NA,NA,"Anthidium undulatum",2.57
"Andrenidae",NA,NA,"Anthophora","Anthophora abrupta",3.9
NA,NA,NA,NA,"Anthophora alluaudi",4.16
"Apidae","Apidae",NA,"Anthophora","Anthophora atroalba",3.88
NA,NA,NA,NA,"Anthophora canescens",4.78
"Apidae","Apidae",NA,"Anthophora","Anthophora dispar",4.36
"Apidae",NA,NA,"Anthophora","Anthophora incerta",4.13
NA,NA,NA,NA,"Anthophora orotavae",3.12
"Apidae","Apidae",NA,"Anthophora","Anthophora plumipes",4.26
NA,NA,NA,NA,"Anthophora retusa",3.73
"Apidae",NA,NA,"Apis","Apis cerana",2.38
"Apidae",NA,NA,"Apis","Apis cerana japonica",2.38
"Apidae","Apidae","Apidae","Apis","Apis mellifera",3.01
NA,NA,NA,NA,"Apis mellifera",3.01
"Megachilidae",NA,NA,"","Ashmeadiella bucconis",1.78
"Halictidae",NA,NA,"Augochlora","Augochlora pura",1.64
"Apidae","Apidae",NA,"Bombus","Bombus alpinus",3.89
"Apidae",NA,NA,"Bombus","Bombus ardens",4.98
NA,NA,NA,NA,"Bombus argillaceus",4.71
"Apidae",NA,NA,"Bombus","Bombus atratus",5.66
"Apidae",NA,NA,"Bombus","Bombus bifarius",2.89
"Apidae",NA,NA,"Bombus","Bombus bimaculatus",4.07
"Apidae","Apidae",NA,"Bombus","Bombus bohemicus",4.86
NA,NA,NA,NA,"Bombus brasiliensis",4.4
NA,NA,NA,NA,"Bombus brevivillus",4.5
"Apidae",NA,NA,"Bombus","Bombus centralis",3.06
NA,NA,NA,NA,"Bombus consobrinus",3.68
NA,NA,NA,NA,"Bombus cryptarum",4.25
"Apidae",NA,NA,"Bombus","Bombus dahlbomii",6.01
"Apidae",NA,NA,"Bombus","Bombus dahlbomii",6.1
"Apidae",NA,NA,"Bombus","Bombus diversus",5.4
"Apidae",NA,NA,"Bombus","Bombus diversus",5.49
"Apidae",NA,NA,"Bombus","Bombus diversus diversus",5.49
"Apidae",NA,NA,"Bombus","Bombus diversus diversus",4.79
"Apidae",NA,NA,"Bombus","Bombus fervidus",3.48
"Apidae",NA,NA,"Bombus","Bombus flavifrons",2.89
"Apidae",NA,NA,"Bombus","Bombus griseocollis",4.87
"Apidae",NA,NA,"Bombus","Bombus honshuensis",6.1
"Apidae","Apidae",NA,"Bombus","Bombus hortorum",4.54
"Apidae",NA,NA,"Bombus","Bombus hortotum",4.74
"Apidae",NA,NA,"Bombus","Bombus hunti",5.13
NA,NA,NA,NA,"Bombus hyperboreus",7.6
"Apidae","Apidae",NA,"Bombus","Bombus hypnorum",4.07
"Apidae",NA,NA,"Bombus","Bombus hypocrita",5.4
"Apidae",NA,NA,"Bombus","Bombus hypocrita hypocrita",5.4
"Apidae",NA,NA,"Bombus","Bombus ignitus",6.3
"Apidae",NA,NA,"Bombus","Bombus impatiens",3.38
"Apidae",NA,NA,"Bombus","Bombus impatiens",4.42
"Apidae","Apidae",NA,"Bombus","Bombus jonellus",5.08
"Apidae","Apidae",NA,"Bombus","Bombus lapidarius",4.28
"Apidae","Apidae",NA,"Bombus","Bombus lucorum",4.28
NA,NA,NA,NA,"Bombus morio",5
"Apidae","Apidae",NA,"Bombus","Bombus muscorum",4.21
"Apidae",NA,NA,"Bombus","Bombus nevadensis",5.06
"Apidae",NA,NA,"Bombus","Bombus occidentalis",3.89
"Apidae","Apidae",NA,"Bombus","Bombus pascuorum",3.91
