"","esp","ID","Orden.GBIF","Familia.GBIF","Genero.GBIF","Genero.original","planta","interaccion","especie","Aceptado","sp.armonizado","genero.x","genero.y","orden","familia"
"64","Agapostemon texanus","M_062","Asterales","Campanulaceae","Campanula","Campanula","Campanula.americana",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"65","Agapostemon texanus","M_062","Asterales","Asteraceae","Aster","Aster","Aster.anomalus",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"66","Agapostemon texanus","M_062","Lamiales","Lamiaceae","Blephilia","Blephilia","Blephilia.hirsuta",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"67","Agapostemon texanus","M_062","Asterales","Asteraceae","Bidens","Bidens","Bidens.aristosa",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"68","Agapostemon texanus","M_062","Rosales","Rhamnaceae","Ceanothus","Ceanothus","Ceanothus.americanus",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"69","Agapostemon texanus","M_062",NA,NA,NA,"Amphicarpa","Amphicarpa.pitcheri",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"70","Agapostemon texanus","M_062","Solanales","Solanaceae","Datura","Datura","Datura.stramonium",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"71","Agapostemon texanus","M_062","Fabales","Fabaceae","Amorpha","Amorpha","Amorpha.fruticosa",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"72","Agapostemon texanus","M_062","Gentianales","Apocynaceae","Apocynum","Apocynum","Apocynum.androsaemifolium",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"73","Agapostemon texanus","M_062","Asterales","Asteraceae","Aster","Aster","Aster.sagittifolius",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"74","Agapostemon texanus","M_062","Asterales","Asteraceae","Bidens","Bidens","Bidens.frondosa",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"75","Agapostemon texanus","M_062","Fabales","Fabaceae","Cassia","Cassia","Cassia.marilandica",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"76","Agapostemon texanus","M_062","Alismatales","Alismataceae","Alisma","Alisma","Alisma.plantago.aquatica",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"77","Agapostemon texanus","M_062",NA,NA,NA,"Dentaria","Dentaria.laciniata",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"78","Agapostemon texanus","M_062","Asterales","Asteraceae","Aster","Aster","Aster.novaeangliae",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"79","Agapostemon texanus","M_062","Rosales","Rosaceae","Crataegus","Crataegus","Crataegus.crus-galli",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"80","Agapostemon texanus","M_062","Lamiales","Lamiaceae","Agastache","Agastache","Agastache.nepetoides",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"81","Agapostemon texanus","M_062",NA,NA,NA,NA,"Cuphea.petiolata",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"82","Agapostemon texanus","M_062","Gentianales","Apocynaceae","Asclepias","Asclepias","Asclepias.purpurascens",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"83","Agapostemon texanus","M_062","Brassicales","Brassicaceae","Arabis","Arabis","Arabis.dentata",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"84","Agapostemon texanus","M_062","Asterales","Asteraceae","Ambrosia","Ambrosia","Ambrosia.trifida",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"85","Agapostemon texanus","M_062","Brassicales","Brassicaceae","Capsella","Capsella","Capsella.bursa-pastoris",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"86","Agapostemon texanus","M_062","Asparagales","Orchidaceae","Cypripedium","Cypripedium","Cypripedium.parviflorum.pubescens",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"87","Agapostemon texanus","M_062","Ranunculales","Berberidaceae","Caulophyllum","Caulophyllum","Caulophyllum.thalictroides",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"88","Agapostemon texanus","M_062","Solanales","Convolvulaceae","Cuscuta","Cuscuta","Cuscuta.cephalanthi",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"89","Agapostemon texanus","M_062","Sapindales","Sapindaceae","Acer","Acer","Acer.negundo",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"90","Agapostemon texanus","M_062","Asterales","Asteraceae","Bidens","Bidens","Bidens.laevis",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"91","Agapostemon texanus","M_062","Sapindales","Sapindaceae","Aesculus","Aesculus","Aesculus.glabra",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"92","Agapostemon texanus","M_062",NA,NA,NA,"Asiminia","Asiminia.triloba",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"93","Agapostemon texanus","M_062","Cucurbitales","Cucurbitaceae","Cucurbita","Cucurbita","Cucurbita.melopepo",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"94","Agapostemon texanus","M_062","Fabales","Fabaceae","Baptisia","Baptisia","Baptisia.leucantha",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"95","Agapostemon texanus","M_062","Rosales","Rosaceae","Agrimonia","Agrimonia","Agrimonia.striata",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"96","Agapostemon texanus","M_062",NA,NA,NA,NA,"Claytonia.virginica",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"97","Agapostemon texanus","M_062","Asterales","Asteraceae","Coreopsis","Coreopsis","Coreopsis.palmata",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"98","Agapostemon texanus","M_062","Asparagales","Asparagaceae","Camassia","Camassia","Camassia.esculenta",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"99","Agapostemon texanus","M_062","Ranunculales","Ranunculaceae","Aquilegia","Aquilegia","Aquilegia.canadensis",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"100","Agapostemon texanus","M_062","Apiales","Apiaceae","Anethum","Anethum","Anethum.graveolens",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"101","Agapostemon texanus","M_062","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium","Cerastium.vulgatum",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"102","Agapostemon texanus","M_062","Fabales","Fabaceae","Baptisia","Baptisia","Baptisia.bracteata",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
